,crn,stn,cast,press,theta,sigma,temp,csal,coxy,dic,ph,alk,phos,nit,sil,doc
23310,94.0,2.0,4.0,1020.3,4.076,27.379,4.1546,34.4981,38.8,2340.3,7.38,2356.0,3.04,42.14,107.2,52.27
36945,149.0,2.0,1.0,3000.2,1.3171,27.76,1.5347,34.6718,125.5,2344.9,7.542,2423.0,2.64,37.63,160.14,39.23
36953,149.0,2.0,1.0,4500.6,1.1119,27.789,1.4866,34.6905,152.7,2324.5,7.586,2425.0,2.5,35.66,149.89,40.81
36965,149.0,2.0,2.0,354.6,12.1683,25.998,12.2151,34.28,209.2,2080.5,7.827,2260.0,0.84,11.44,11.76,51.71
36968,149.0,2.0,2.0,487.1,8.0432,26.527,8.093,34.057,151.9,2169.3,7.617,2268.0,1.78,24.71,34.09,49.69
36971,149.0,2.0,2.0,615.3,6.2494,26.861,6.3047,34.1646,65.8,2262.9,7.416,2297.0,2.63,35.38,62.7,47.5
36974,149.0,2.0,2.0,764.2,5.0383,27.114,5.101,34.2976,37.4,2312.4,7.361,2334.0,2.97,40.37,86.9,44.33
37160,150.0,2.0,1.0,2998.3,1.3433,27.756,1.5612,34.6691,125.5,2345.3,7.533,2424.0,2.63,37.74,158.96,34.59
37168,150.0,2.0,1.0,4499.1,1.1127,27.788,1.4872,34.6889,152.3,2325.8,7.575,2423.0,2.5,35.85,150.25,35.67
37178,150.0,2.0,2.0,295.6,12.4645,25.94,12.504,34.2787,188.8,2091.6,7.797,2261.0,0.92,12.18,12.45,45.69
37180,150.0,2.0,2.0,379.3,10.03,26.287,10.0742,34.1547,193.9,2114.0,7.746,2260.0,1.17,16.8,20.22,44.7
37183,150.0,2.0,2.0,480.0,7.2584,26.624,7.3047,34.0362,133.2,2192.8,7.562,2272.0,1.91,27.97,43.4,42.98
37186,150.0,2.0,2.0,628.6,5.3535,26.941,5.4058,34.1254,56.1,2284.1,7.367,2308.0,2.79,38.04,77.19,39.42
37194,150.0,2.0,2.0,1022.6,3.9831,27.381,4.0611,34.4889,39.9,2340.8,7.368,2371.0,3.05,41.95,108.95,35.94
37384,151.0,2.0,1.0,2999.6,1.3538,27.755,1.5721,34.6687,123.8,2347.2,7.542,2425.0,2.62,37.44,157.49,38.62
37392,151.0,2.0,1.0,4500.6,1.1132,27.788,1.4879,34.6894,151.8,2326.0,7.58,2424.0,2.49,35.46,150.19,37.21
37404,151.0,2.0,2.0,358.8,10.3112,26.241,10.3536,34.1574,162.8,2129.8,7.699,2264.0,1.38,17.82,18.21,48.1
37409,151.0,2.0,2.0,620.9,5.3939,26.943,5.4457,34.1348,46.1,2290.9,7.35,2307.0,2.85,38.65,74.6,42.42
37412,151.0,2.0,2.0,762.3,4.7959,27.161,4.857,34.3217,23.2,2326.8,7.33,2336.0,3.1,41.49,92.75,40.88
37418,151.0,2.0,2.0,1003.1,4.0514,27.37,4.1283,34.4839,38.4,2339.8,7.378,2368.0,3.06,41.9,107.12,37.15
37626,152.0,2.0,2.0,233.3,18.5619,25.109,18.6029,34.9692,196.7,2050.7,7.952,2308.0,0.31,3.05,2.58,52.59
37628,152.0,2.0,2.0,338.4,12.1296,25.956,12.1741,34.2165,195.4,2086.6,7.802,2267.0,0.91,11.37,10.47,47.67
37631,152.0,2.0,2.0,493.3,7.3921,26.641,7.4403,34.0822,110.7,2209.5,7.503,2277.0,2.17,29.09,43.58,45.18
37634,152.0,2.0,2.0,612.0,5.5656,26.926,5.6174,34.139,55.5,2280.5,7.375,2314.0,2.75,37.42,68.14,40.48
37860,153.0,2.0,1.0,3001.0,1.3469,27.754,1.5652,34.6676,124.1,2343.8,7.535,2423.0,2.62,37.33,157.52,38.17
37868,153.0,2.0,1.0,4501.3,1.1138,27.787,1.4886,34.6885,152.2,2324.3,7.585,2416.0,2.49,35.53,149.21,39.23
37878,153.0,2.0,2.0,248.2,13.2692,25.823,13.3037,34.3337,184.2,2086.1,7.814,2265.0,0.87,10.79,9.62,49.88
37880,153.0,2.0,2.0,332.0,10.2633,26.244,10.3024,34.1507,182.6,2118.3,7.725,2263.0,1.27,17.06,18.48,47.43
37883,153.0,2.0,2.0,485.2,6.745,26.728,6.7899,34.0786,92.4,2231.1,7.458,2283.0,2.29,32.0,52.07,43.31
37885,153.0,2.0,2.0,594.8,5.7835,26.935,5.8348,34.1842,54.7,2279.0,7.386,2308.0,2.74,36.9,68.53,42.81
38057,154.0,2.0,1.0,1998.5,1.9324,27.677,2.0698,34.6259,92.4,2356.3,7.472,2417.0,2.78,39.43,150.86,37.56
38062,154.0,2.0,1.0,2999.9,1.344,27.756,1.5621,34.6695,124.3,2345.4,7.529,2428.0,2.58,37.35,158.79,37.34
38070,154.0,2.0,1.0,4500.2,1.1131,27.789,1.4877,34.69,152.1,2325.5,7.578,2420.0,2.46,35.32,150.0,37.55
38080,154.0,2.0,2.0,265.3,13.8651,25.71,13.9031,34.3462,197.2,2069.6,7.851,2265.0,0.67,8.03,6.6,48.67
38082,154.0,2.0,2.0,345.0,10.3688,26.223,10.4097,34.1473,198.4,2108.0,7.75,2260.0,1.14,15.56,16.43,45.8
38091,154.0,2.0,2.0,740.9,4.6214,27.163,4.6797,34.3001,32.0,2323.8,7.343,2337.0,3.03,41.17,94.21,39.85
38096,154.0,2.0,2.0,1021.5,3.7877,27.407,3.8641,34.4963,48.0,2337.7,7.397,2373.0,3.01,41.51,109.92,38.72
38304,155.0,2.0,1.0,1998.5,1.956,27.669,2.0937,34.6178,88.2,2358.3,7.47,2417.0,2.8,39.63,153.05,35.03
38317,155.0,2.0,1.0,4497.6,1.1112,27.788,1.4855,34.6895,152.9,2325.1,7.58,2419.0,2.48,35.56,150.62,36.73
38328,155.0,2.0,2.0,368.6,9.9975,26.272,10.0403,34.1291,190.7,2117.0,7.738,2261.0,1.24,16.77,19.23,45.34
38332,155.0,2.0,2.0,513.0,7.1569,26.645,7.2061,34.0456,119.0,2205.0,7.531,2272.0,2.09,28.93,44.72,44.78
38334,155.0,2.0,2.0,597.1,5.7247,26.862,5.7758,34.0822,71.1,2262.9,7.4,2295.0,2.62,35.9,67.73,42.39
38337,155.0,2.0,2.0,771.4,4.7777,27.157,4.8395,34.3149,32.1,2322.8,7.346,2333.0,3.0,40.96,92.93,46.4
38343,155.0,2.0,2.0,1010.2,3.8462,27.369,3.9221,34.4555,42.3,2338.7,7.379,2370.0,3.01,41.72,112.02,40.6
38515,156.0,2.0,1.0,2000.1,1.9244,27.673,2.0618,34.6204,90.9,2355.2,7.475,2418.0,2.77,39.6,151.2,34.88
38528,156.0,2.0,1.0,4498.3,1.1118,27.788,1.4861,34.6895,152.6,2325.3,7.582,2421.0,2.48,35.83,149.26,38.14
38536,156.0,2.0,2.0,242.6,15.5911,25.502,15.6288,34.5609,198.6,2056.5,7.897,2279.0,0.51,5.94,4.87,54.27
38539,156.0,2.0,2.0,367.6,10.2734,26.255,10.3169,34.1668,185.2,2117.4,7.737,2268.0,1.25,17.01,18.44,45.88
38542,156.0,2.0,2.0,491.2,7.1831,26.643,7.2302,34.0475,123.6,2202.1,7.543,2279.0,2.09,28.88,44.0,51.45
38544,156.0,2.0,2.0,605.1,5.7161,26.845,5.7679,34.0597,80.5,2255.8,7.419,2301.0,2.56,35.75,65.88,43.33
38733,157.0,2.0,1.0,2000.9,2.0039,27.667,2.1425,34.6195,89.3,2357.2,7.477,2418.0,2.81,39.23,150.11,40.95
38738,157.0,2.0,1.0,2999.8,1.3368,27.757,1.5548,34.6694,123.3,2346.1,7.534,2428.0,2.63,37.16,159.18,40.61
38746,157.0,2.0,1.0,4499.3,1.1117,27.789,1.4862,34.6903,152.2,2325.3,7.583,2425.0,2.51,35.43,150.47,39.8
38759,157.0,2.0,2.0,492.9,7.361,26.641,7.409,34.0768,118.7,2204.2,7.539,2273.0,2.1,28.17,43.73,45.71
38765,157.0,2.0,2.0,757.8,4.671,27.164,4.731,34.3077,32.0,2324.7,7.348,2339.0,3.04,40.74,93.77,35.95
38984,158.0,2.0,1.0,4499.2,1.1123,27.788,1.4868,34.6893,151.6,2326.0,7.581,2421.0,2.48,35.66,149.71,37.21
38999,158.0,2.0,2.0,588.8,5.8224,26.848,5.8732,34.0799,72.8,2260.5,7.417,2295.0,2.63,34.84,65.18,42.62
39232,159.0,2.0,1.0,2999.7,1.3698,27.754,1.5884,34.6689,124.3,2348.7,7.531,2428.0,2.67,37.55,158.49,35.6
39240,159.0,2.0,1.0,4498.5,1.1132,27.788,1.4876,34.6893,154.4,2326.9,7.58,2422.0,2.49,35.75,149.31,37.69
39466,160.0,2.0,2.0,1999.0,2.0184,27.664,2.1571,34.6173,87.6,2357.2,7.471,2413.0,2.84,39.41,149.23,34.73
39471,160.0,2.0,2.0,2999.6,1.3151,27.759,1.5326,34.6702,125.3,2344.3,7.538,2425.0,2.65,37.2,158.77,34.35
39479,160.0,2.0,2.0,4498.6,1.1121,27.788,1.4865,34.6894,152.0,2325.2,7.582,2422.0,2.52,35.72,149.6,36.17
39489,160.0,2.0,3.0,332.1,11.6431,26.056,11.6856,34.227,208.2,2086.4,7.813,2256.0,0.93,12.0,14.35,47.71
39493,160.0,2.0,3.0,494.5,7.4266,26.625,7.475,34.0679,122.9,2201.7,7.55,2274.0,2.08,28.17,38.77,43.23
39710,161.0,2.0,2.0,502.2,7.3388,26.626,7.3876,34.0537,131.6,2199.3,7.552,2272.0,2.07,28.33,43.46,44.69
39713,161.0,2.0,2.0,754.1,4.6621,27.143,4.7217,34.281,31.6,2321.3,7.344,2336.0,3.05,41.23,94.01,40.92
39715,161.0,2.0,2.0,1001.4,3.9988,27.351,4.0751,34.4528,40.7,2338.2,7.38,2362.0,3.05,41.58,107.8,38.53
