"","crn","stn","cast","mdate","press","theta","sigma","temp","csal","coxy","bsal","boxy","dic","ph","alk","phos","nit","sil","dop","don","doc","tdp","tdn","pc","pn","pp","lln","llp","atp","n2o","psi","p15n","no2"
"46",39,2,13,80692,31.1,26.095,22.949,26.102,34.9279,204.8,34.9316,-9,1957.1,8.108,2296,0.06,0.01,0.87,0.22,5.87,-9,0.28,5.88,-9,-9,-9,3.6,114.3,-9,-9,-9,-9,-9
"47",39,2,13,80692,31,26.0951,22.949,26.102,34.9277,204.9,34.9328,205.1,1958.9,8.101,2294,0.05,0.02,1.12,0.26,5.87,-9,0.31,5.89,-9,-9,-9,2.5,93.8,-9,-9,-9,-9,-9
"48",39,2,13,80692,40.3,26.0849,22.954,26.0939,34.9294,204.9,34.9296,205.1,1954.7,8.111,2293,0.05,0.01,0.81,0.25,6.26,-9,0.3,6.27,-9,-9,-9,1.6,94.7,-9,-9,-9,-9,-9
"49",39,2,13,80692,49.3,24.8304,23.409,24.841,35.0218,211.3,35.0174,215.7,1965.7,8.101,2300,0.07,0,1.06,0.26,7.22,-9,0.33,7.22,-9,-9,-9,1.6,79.1,-9,-9,-9,-9,-9
"50",39,2,13,80692,64.8,23.7952,23.764,23.8088,35.0814,216.8,35.0794,216.5,1977.5,8.09,2312,0.06,-0.01,2.14,0.32,7.07,-9,0.38,7.06,-9,-9,-9,3.5,82,-9,-9,-9,-9,-9
"51",40,2,1,-9,3203.4,1.2856,27.763,1.5226,34.6724,127.2,34.6711,129.2,2345.3,7.546,2423,2.56,37.17,160.61,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.5
"52",40,2,1,-9,3998.5,1.1418,27.782,1.4594,34.6842,146.1,34.6836,146.2,2329.9,7.573,2417,2.5,36.14,154.94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.2
"53",40,2,1,-9,4497.4,1.1105,27.787,1.4847,34.6872,152.2,34.6884,151.1,2325.6,7.581,-9,2.47,35.69,152.31,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.4
"54",40,2,5,-9,225.5,17.4376,25.333,17.4755,34.8999,195.5,34.8854,194.5,2051.4,7.958,2287,0.35,3.93,3.81,0.11,4.73,-9,0.46,8.65,-9,-9,-9,-9,-9,-9,-9,-9,-9,8.9
"55",40,2,5,-9,250.4,16.1233,25.509,16.1632,34.7262,194.1,34.7284,195.3,2037.9,7.931,2280,0.44,5.17,4.86,0.09,4.34,-9,0.53,9.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,6.3
"56",40,2,5,-9,499.9,7.5229,26.636,7.5722,34.099,118,34.099,118.6,2210.3,7.561,2302,2.04,27.89,41.35,0.02,3.09,-9,2.06,30.98,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.3
"57",40,2,5,-9,1022.9,3.9629,27.371,4.0408,34.4734,45,34.4746,42.2,2351.9,7.393,2354,2.99,41.5,104.59,-9,2.11,-9,-9,43.61,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.3
"58",40,2,6,-9,15.6,26.3213,22.979,26.3248,35.0607,204.2,35.0601,204.9,1967.8,8.113,2311,0.05,0.01,0.99,0.21,5.64,-9,0.25,5.65,-9,-9,-9,1.8,28.3,-9,-9,-9,-9,-9
"59",40,2,6,-9,35.4,26.2478,22.997,26.2557,35.0547,204.1,35.055,205.7,1963.9,8.112,2303,0.06,0,0.83,0.19,6.3,-9,0.24,6.3,-9,-9,-9,5.5,19.5,-9,-9,-9,-9,-9
"60",42,2,1,-9,125,22.4373,24.209,22.4624,35.1509,-9,35.0872,211,1998.8,8.068,2329,0.12,0.15,1.05,0.19,6.13,-9,0.3,6.28,-9,-9,-9,-9,130.9,-9,-9,-9,-9,-9
"61",42,2,1,-9,150,21.5291,24.488,21.5583,35.1831,-9,35.1782,205.5,2020.9,8.05,2316,0.12,0.36,1.12,0.17,5.97,-9,0.28,6.33,-9,-9,-9,-9,143.5,-9,-9,-9,-9,219.6
"62",42,2,1,-9,200,19.4475,25.026,19.4838,35.1564,-9,35.1706,197,2036.5,7.989,2322,0.2,1.31,1.51,0.14,4.87,-9,0.33,6.18,-9,-9,-9,-9,222.6,-9,-9,-9,-9,82
"63",42,2,1,-9,250,17.8957,25.294,17.9386,34.9949,-9,35.0029,194.9,2046.1,7.968,-9,0.28,2.86,2.66,0.13,4.73,-9,0.41,7.59,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"64",42,2,2,-9,5,25.6502,22.977,25.6513,34.781,-9,34.7732,203.9,1946.7,8.111,2285,0.11,0.01,1.09,0.22,5.48,-9,0.33,5.49,-9,-9,-9,1.7,-9,-9,-9,-9,-9,0.4
